title,number,cover,price,summary
SAD,69,img/Volume_69.jpg,90.32,
Doflamingo Aparece,70,img/Volume_70.jpg,63.97,
 Coliseu dos Infames,71,img/Volume_71.jpg,95.72,
Os Equecidos de Dressrosa,72,img/Volume_72.jpg,83.32,"Finalmente chega a hora de Luffy, sob o disfarce de Lucy, brilhar na arena do Coliseu Corrida! Enquanto isso, Robin e Usopp, junto aos pequenos guerreiros de Tontatta, se preparam para o golpe final contra o governo de Doflamingo! E o Sunny encontra-se em perigo!"
Operação SOP de Dressrosa,73,img/Volume_73.jpg,70.43,O plano de Law vai pro ralo e o Bando do Chapéu de Palha fica diretamente sob a mira de Doflamingo! E é revelado um pouco mais sobre o tamanho poder de influência desse Shichibukai conhecido também como Joker! E a revolução dos simpatizantes do antigo rei está prestes a explodir!
Eu sempre estarei perto de você,74,img/Volume_74.jpg,89.24,"Quando o Bando do Chapéu de Palha descobre a verdade sobre as trevas que assolam Dressrosa, todos decidem ajudar os pequenos guerreiros de Tontatta em sua batalha pela liberdade! Querendo abandonar a disputa no Coliseu para poder salvar Law, Luffy tenta escapar, mas acaba sendo surpreendido por um certo alguém que surge diante de seus olhos!"
Minha Retribuição,75,img/Volume_75.jpg,70.62,
Ignora e Vai em Frente,76,img/Volume_76.jpg,55.92,O Bando do Chapéu de Palha e seus novos aliados unem forças para alcançar o Doflamingo! E esse misterioso Shichibukai revela seu passado e sua tragédia como um Dragão Celestial!
Smile,77,img/Volume_77.jpg,53.89,
Carisma do Mal,78,img/Volume_78.jpg,61.99,"A luta de Kyros e Zoro contra os oficiais da família Donquixote se aproxima da sua conclusão. Já a luta contra Doflamingo e Trebol segue acirrada, exigindo que Luffy mostre uma nova técnica."
Lucy,79,img/Volume_79.jpg,38.01,
Discurso de Abertura,80,img/Volume_80.jpg,36.03,
Vamos conhecer o Mestre Nekomamushi,81,img/Volume_81.jpg,78.91,"Luffy e seus companheiros chegam em Zou, e lá são aclamados como heróis. Mas o que aconteceu com essa cidade em ruínas? e que fim levou Sanji, que não está com o grupo?"
